Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ200;admpol200.shp;3784;88390029057;2977712;17678005811;595542;5;5,4;0,771;5;
ГРОЗНЫЙ200;admpol200.shp;4670;107317140680;3865959;15331020097;552280;7;5,286;0,755;7;
МОСКВА200;admpol200.shp;14435;160135124384;6049075;17792791598;672119;9;5,222;0,746;9;
ПЕТРОЗАВОДСК200;admpol200.shp;1148;109551634182;2356020;36517211394;785340;3;5,667;0,81;3;
РОСТОВ-ДОН200;admpol200.shp;4958;139870396319;3929322;34967599080;982330;4;5,5;0,786;4;
САЛЕХАРД200;admpol200.shp;1235;139441631689;2479202;69720815845;1239601;2;6;0,857;2;
СУРГУТ200;admpol200.shp;414;88495652072;1702635;44247826036;851317;2;6;0,857;2;
УСТЮГ200;admpol200.shp;3708;146200043125;4037274;24366673854;672879;6;5,333;0,762;6;
УФА200;admpol200.shp;741;70667933660;1468345;14133586732;293669;5;5,4;0,771;5;
ВОРОНЕЖ500;admpol500.shp;3283;85041798732;2881107;17008359746;576221;5;5,2;0,867;5;
ГРОЗНЫЙ500;admpol500.shp;2322;98750513227;3567455;14107216175;509636;7;5,143;0,857;7;
МОСКВА500;admpol500.shp;7564;157049269867;6041861;17449918874;671318;9;5,111;0,852;9;
ПЕТРОЗАВОДСК500;admpol500.shp;654;108767104467;2328386;36255701489;776129;3;5,333;0,889;3;
РОСТОВ-ДОН500;admpol500.shp;3600;127705884721;3450301;5552429770;150013;23;4,217;0,703;23;
САЛЕХАРД500;admpol500.shp;696;135502858199;2182931;45167619400;727644;3;5;0,833;3;
СУРГУТ500;admpol500.shp;1010;90427539371;1742877;45213769686;871438;2;5,5;0,917;2;
УСТЮГ500;admpol500.shp;3256;142206884483;3862825;28441376897;772565;5;5,2;0,867;5;
УФА500;admpol500.shp;857;70063433656;1453628;14012686731;290726;5;5,2;0,867;5;
ВОРОНЕЖ1000;admpol1000.shp;7247;85806016268;10157597;1406656004;166518;61;5,164;0,469;61;
ГРОЗНЫЙ1000;admpol1000.shp;5827;83776998832;8415266;1611096131;161832;52;5,212;0,474;52;
МОСКВА1000;admpol1000.shp;18107;120819541587;14646294;1245562284;150993;97;5,041;0,458;97;
ПЕТРОЗАВОДСК1000;admpol1000.shp;7305;175981972287;8983448;8799098614;449172;20;5,7;0,518;20;
РОСТОВ-ДОН1000;admpol1000.shp;7260;104052529753;11658330;1445174024;161921;72;4,958;0,451;72;
САЛЕХАРД1000;admpol1000.shp;2690;170445912535;4930231;2053565211;59400;83;4,145;0,377;83;
СУРГУТ1000;admpol1000.shp;690;134679765350;2973787;33669941338;743447;4;7,25;0,659;4;
УСТЮГ1000;admpol1000.shp;5490;109493749978;9070053;2670579268;221221;41;5,439;0,494;41;
УФА1000;admpol1000.shp;7881;119390139039;11314989;1808941501;171439;66;4,864;0,442;66;
ВОРОНЕЖ200;bldpol200.shp;356;3102618;52524;57456;973;54;4,111;0,411;54;
ГРОЗНЫЙ200;bldpol200.shp;687;2952639;82772;23621;662;125;4,056;0,406;125;
МОСКВА200;bldpol200.shp;1751;9734743;233489;31813;763;306;4,02;0,402;306;
ПЕТРОЗАВОДСК200;bldpol200.shp;313;1692693;38028;33854;761;50;4,12;0,412;50;
