Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ500;admpol500.shp;3283;85041798732;2881107;17008359746;576221;5;5.200;0.867;5;
ВОРОНЕЖ500;bldpol500.shp;42;899743;12093;112468;1512;8;4.750;0.475;8;
ВОРОНЕЖ500;blkpol500.shp;86636;2342043651;25543248;154031;1680;15205;4.000;0.444;15205;
ВОРОНЕЖ500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;crdpol500.shp;20;54299881037;1891673;13574970259;472918;4;6.500;0.722;4;
ВОРОНЕЖ500;csrpol500.shp;588;613739663;231316;55794515;21029;11;6.364;0.490;11;
ВОРОНЕЖ500;ghppol500.shp;64;2591217455;317509;1295608728;158754;2;6.000;1.000;2;
ВОРОНЕЖ500;gndpol500.shp;1790;180747359;595061;1434503;4723;126;4.032;0.576;126;
ВОРОНЕЖ500;hdcpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;hdrpol500.shp;6912;690356778;1598172;1558367;3608;443;4.045;0.270;443;
ВОРОНЕЖ500;hdtpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;pippol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;poppol500.shp;45696;8776118743;16922168;4693112;9049;1870;4.792;0.342;1870;
ВОРОНЕЖ500;rlfpol500.shp;52;2321827;16754;464365;3351;5;5.200;0.578;5;
ВОРОНЕЖ500;vegpol500.shp;22300;12321721109;7870232;17602459;11243;700;4.011;0.446;700;
ВОРОНЕЖ500;vegpol500clip.shp;0;0;0;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ500;admpol500.shp;2322;98750513227;3567455;14107216175;509636;7;5.143;0.857;7;
ГРОЗНЫЙ500;bldpol500.shp;5;114693;1571;114693;1571;1;10.000;1.000;1;
ГРОЗНЫЙ500;blkpol500.shp;18829;497696079;5524717;139763;1551;3561;4.002;0.445;3561;
ГРОЗНЫЙ500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ500;crdpol500.shp;20;50678753511;1804671;12669688378;451168;4;6.750;0.750;4;
ГРОЗНЫЙ500;csrpol500.shp;750;98276071;409393;927133;3862;106;4.509;0.347;106;
ГРОЗНЫЙ500;ghppol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ500;pippol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ500;poppol500.shp;9367;2267799202;4792526;3039945;6424;746;4.956;0.354;746;
ГРОЗНЫЙ500;rlfpol500.shp;3358;830146508;1185197;7758379;11077;107;4.047;0.450;107;
МОСКВА500;admpol500.shp;7564;157049269867;6041861;17449918874;671318;9;5.111;0.852;9;
МОСКВА500;bldpol500.shp;3354;36554289;640977;55385;971;660;4.009;0.401;660;
МОСКВА500;blkpol500.shp;76700;2542325302;23637685;187806;1746;13537;4.001;0.445;13537;
МОСКВА500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
МОСКВА500;crdpol500.shp;20;71328143464;2172055;17832035866;543014;4;6.500;0.722;4;
МОСКВА500;csrpol500.shp;151;75763119;73005;8418124;8112;9;6.000;0.462;9;
МОСКВА500;ghppol500.shp;30;687807563;110039;687807563;110039;1;6.000;1.000;1;
МОСКВА500;pippol500.shp;0;0;0;NaN;NaN;0;0;0;0;
МОСКВА500;poppol500.shp;47951;7768909586;16053317;2507718;5182;3098;4.806;0.343;3098;
МОСКВА500;rlfpol500.shp;67;7781450;19664;2593817;6555;3;5.667;0.630;3;
ПЕТРОЗАВОДСК500;admpol500.shp;654;108767104467;2328386;36255701489;776129;3;5.333;0.889;3;
ПЕТРОЗАВОДСК500;bldpol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК500;blkpol500.shp;8467;245479816;2370601;167907;1621;1462;4.004;0.445;1462;
ПЕТРОЗАВОДСК500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК500;crdpol500.shp;10;89079324051;1691564;44539662026;845782;2;7.500;0.833;2;
ПЕТРОЗАВОДСК500;csrpol500.shp;266;732497375;169846;146499475;33969;5;7.400;0.569;5;
ПЕТРОЗАВОДСК500;ghppol500.shp;38;96414696;37488;96414696;37488;1;6.000;1.000;1;
ПЕТРОЗАВОДСК500;pippol500.shp;0;0;0;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК500;poppol500.shp;10266;823795594;2865088;1206143;4195;683;4.906;0.350;683;
ПЕТРОЗАВОДСК500;rlfpol500.shp;68;5425298;18487;2712649;9244;2;6.500;0.722;2;
РОСТОВ-ДОН500;admpol500.shp;3600;127705884721;3450301;5552429770;150013;23;4.217;0.703;23;
РОСТОВ-ДОН500;bldpol500.shp;40;924438;11671;115555;1459;8;4.875;0.487;8;
РОСТОВ-ДОН500;blkpol500.shp;55354;1674248022;17750862;166658;1767;10046;4.001;0.445;10046;
РОСТОВ-ДОН500;compol500.shp;0;0;0;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН500;crdpol500.shp;20;62197520170;2019627;15549380043;504907;4;6.750;0.750;4;
РОСТОВ-ДОН500;csrpol500.shp;86;8082632;34681;1010329;4335;8;5.875;0.452;8;
