region;Name;PointsNumber;TotalArea;Length;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ЯРОСЛАВЛЬ;admin1000k;6618;3665825564;5411225;3107;44;3131;2512;603;2561;1179860;
ЯРОСЛАВЛЬ;comlin1000;93;1105036054;310169;61;17;18920;18450;1304;18450;18115345;
ЯРОСЛАВЛЬ;crdlin1000;68;302904811;397399;2;0;198699;198682;1144;198682;151452405;
ЯРОСЛАВЛЬ;hdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hdrlin1000clip;136;5882301;56290;41;20;1598;1539;148;1539;147058;
ЯРОСЛАВЛЬ;hdtlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;piplin1000;1359;2692974381;1275627;751;13;9999;9791;503;9799;3585851;
ЯРОСЛАВЛЬ;railway1000k;1855;4805442961;2325586;874;11;10400;10116;696;10116;5504517;
ЯРОСЛАВЛЬ;rdclin1000-;3;501;501;1;2;500;500;1;500;500;
ЯРОСЛАВЛЬ;rdslin1000clip;343;29709412;219140;90;52;2595;2342;229;2398;341487;
ЯРОСЛАВЛЬ;rivers1000k;14696;5832036387;9551520;5773;22;3436;3135;446;3144;1011102;
ЯРОСЛАВЛЬ;rlflin1000;29;2866711;15396;11;15;2104;2006;194;2006;260610;
ЯРОСЛАВЛЬ;rlhlin1000;27368;11192818446;16208628;8602;26;3503;2622;635;2768;1309102;
ЯРОСЛАВЛЬ;roads1000k;7913;6482315476;10861728;3012;19;5910;5631;561;5638;2152878;
ЯРОСЛАВЛЬ;veglin1000;2;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;admlin1000;3674;5016488223;3852384;1597;36;5248;4505;725;4599;3141195;
ПЕТРОЗАВОДСК;comlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;crdlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;hdclin1000;8;12249;3656;2;12;716;712;26;712;6124;
ПЕТРОЗАВОДСК;hddlin1000;2341;2101620406;1628633;639;18;6615;5598;827;5763;3288921;
ПЕТРОЗАВОДСК;hdrlin1000;24251;11337328967;14677951;8459;21;3304;2989;451;2998;1340427;
ПЕТРОЗАВОДСК;hdtlin1000;146;56646507094;387624;63;4;95701;89295;9715;89316;899150906;
ПЕТРОЗАВОДСК;piplin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ПЕТРОЗАВОДСК;rdclin1000;247;55903579;78383;119;3;4823;4759;193;4759;469778;
ПЕТРОЗАВОДСК;rdslin1000;6956;7175758424;7945725;2519;17;6353;5989;674;5992;2849785;
ПЕТРОЗАВОДСК;rlflin1000;12;2248561;7374;3;17;2694;2515;325;2515;749520;
ПЕТРОЗАВОДСК;rlhlin1000;58504;19599397621;30447774;14688;25;3545;2544;670;2717;1338208;
ПЕТРОЗАВОДСК;rrslin1000;915;4217728738;1061570;360;11;15766;15198;1133;15201;11715913;
ПЕТРОЗАВОДСК;veglin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;admlin1000;3706;4020505020;4564165;1891;49;4316;3481;810;3554;2126126;
ВОРОНЕЖ;comlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;crdlin1000;60;240780374;386612;2;0;193306;193294;935;193294;120390186;
ВОРОНЕЖ;hdclin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hddlin1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ВОРОНЕЖ;hdrlin1000;10399;3470932369;5946998;4205;22;3069;2779;410;2789;827595;
ВОРОНЕЖ;hdrlin1000clip;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;
