layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000;4;115;3.026;0.756;3729130.051;3014;956;2756597.204;4108.847;847.594;4942.55;0.0;0.0;31337.227;Line;2635306927.0
admpol1000;11;52;5.212;0.474;8279038.08;5827;1898;4566358.901;4565.05;967.659;5604.354;50585132505.251;887458465.004;145246.282;Polygon;8666949194.0
bldpnt1000;9;17;0.529;0.059;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;7;4.714;0.524;150722.221;189;72;1009008.25;1991.764;682.014;2931.264;91800123.0;13114303.286;21531.746;Polygon;72648594.0
comlin1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
compnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;2;4.0;0.667;417810.896;56;2;114677907.0;208897.0;824.0;208905.0;0.0;0.0;208905.448;Line;229355814.0
crdpol1000;8;2;6.5;0.812;1320650.132;62;3;16965302485.333;137287.333;115446.0;442194.0;50676056129.42;25338028064.71;660325.066;Polygon;50895907456.0
csrpnt1000;11;60;0.183;0.017;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;3;9.333;0.718;18920.817;21;5;1157285.2;829.6;1348.6;4053.8;5677410.689;1892470.23;6306.939;Polygon;5786426.0
gndpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;113;3.053;0.509;3481112.83;3276;1217;2102069.825;2983.738;839.761;4359.063;7466060554.449;66071332.34;30806.308;Polygon;2558218977.0
hdclin1000;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;11;2;5.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;6;113;3.053;0.509;3481112.83;3276;1217;2102069.825;2983.738;839.761;4359.063;7466060554.449;66071332.34;30806.308;Polygon;2558218977.0
