layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000;4;221;3.009;0.752;6597337.628;9185;3208;1012439.005;2216.821;578.487;2798.904;0.0;0.0;29452.4;Line;3247904327.0
admpol1000;11;97;5.041;0.458;14283253.241;18107;6439;1235640.644;2438.107;600.321;3083.47;71344497716.514;686004785.736;137338.973;Polygon;7956290104.0
bldpnt1000;9;10;0.9;0.1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;175;4.029;0.448;2056131.859;2570;877;980923.433;1977.591;634.249;2992.372;1148781375.666;6564465.004;11749.325;Polygon;860269851.0
comlin1000;8;8;3.875;0.484;409815.939;131;31;16435864.323;15090.258;1564.935;15881.258;0.0;0.0;81963.188;Line;509511794.0
compnt1000;7;3;2.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;2;4.0;0.667;434834.112;74;2;198436641.0;217394.0;1370.0;217417.0;0.0;0.0;217417.056;Line;396873282.0
crdpol1000;8;2;6.5;0.812;1523367.415;80;3;23902704454.333;144844.333;144456.0;507874.0;71311939020.736;35655969510.368;761683.708;Polygon;71708113363.0
csrpnt1000;11;6;1.833;0.167;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;1;13.0;1.0;30618.483;22;9;2336954.222;3778.111;848.444;4438.111;57382079.27;57382079.27;30618.483;Polygon;21032588.0
gndpol1000;6;168;3.018;0.503;1821972.915;1979;599;1465981.573;1791.771;804.705;3696.553;935329290.155;5567436.251;10845.077;Polygon;878122962.0
hdclin1000;12;1;12.0;1.0;1294.937;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;11;7;1.571;0.143;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin1000;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000;8;1283;2.069;0.259;12354940.378;18801;4738;912899.49;2710.642;446.142;3043.637;0.0;0.0;10818.687;Line;4325317782.0
hdrpnt1000;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol1000;14;242;3.12;0.223;3161285.059;6855;1499;1112242.745;3156.18;454.319;3968.767;1219979957.589;5041239.494;13063.161;Polygon;1667251875.0
hdtlin1000;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt1000;15;25;0.6;0.04;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hndpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;53;3.226;0.269;1642382.266;2359;266;3220041.805;6516.695;543.271;6793.18;0.0;0.0;35703.962;Line;856531120.0
pippnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;912;0.012;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;157;5.115;0.365;2854696.976;4003;1545;765090.531;1697.358;616.409;2553.203;2501597345.561;15832894.592;18067.702;Polygon;1182064871.0
rdclin1000;13;2;8.0;0.615;1448.417;6;2;771.5;724.5;2.0;724.5;0.0;0.0;724.208;Line;1543.0
rdcpnt1000;13;1;13.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000;16;1758;3.06;0.191;13015308.551;8891;2308;2163439.273;5499.389;603.305;5825.738;0.0;0.0;9370.273;Line;4993217843.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin1000;7;10;3.4;0.486;26161.442;48;10;492063.3;2479.8;279.2;2616.1;0.0;0.0;2616.144;Line;4920633.0
rlfpnt1000;8;81;0.099;0.012;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;5;649;2.014;0.403;29423494.627;51211;11577;1064989.524;2291.403;592.91;3118.172;0.0;0.0;45336.664;Line;12329383721.0
rlhpnt1000;7;93;0.075;0.011;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin1000;7;183;3.06;0.437;3403182.416;3261;455;4277606.822;7695.231;643.152;8034.101;0.0;0.0;19558.52;Line;1946311104.0
