layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;4;3;3.333;0.833;538132.718;323;126;3992645.54;4748.032;935.421;5569.643;0.0;0.0;269066.359;Line;503073338.0
admpol500;6;3;5.333;0.889;2328386.479;654;256;213431891.555;8340.711;2248.836;10868.344;89188636605.433;29729545535.144;776128.826;Polygon;54638564238.0
bldpnt500;8;255;0.031;0.004;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
blkpol500;9;1462;4.004;0.445;2370600.986;8467;2070;111061.872;264.974;247.802;1236.569;217923128.253;149058.227;1621.478;Polygon;229898076.0
comlin500;8;10;3.5;0.438;468232.456;235;42;12196715.167;12179.929;1219.262;12736.69;0.0;0.0;52025.828;Line;512262037.0
compnt500;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;6;1;6.0;1.0;219729.554;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol500;9;2;7.5;0.833;1691563.715;10;2;44539662025.5;0.0;208577.5;845782.0;89079324051.399;44539662025.699;845781.857;Polygon;89079324051.0
csrlin500;11;2;7.0;0.636;160977.36;227;43;1862962.977;3952.535;702.767;4607.093;0.0;0.0;80488.68;Line;80107408.0
csrpnt500;11;40;0.275;0.025;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;5;7.4;0.569;169845.517;266;55;2168180.964;3335.982;630.545;3907.291;482389735.335;96477947.067;33969.103;Polygon;119249953.0
forlin500;5;993;3.002;0.6;6330496.121;3328;737;1174838.63;7203.072;298.061;7431.275;0.0;0.0;9784.383;Line;865856070.0
gdcpnt500;7;30;0.233;0.033;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;1;6.0;1.0;37488.331;38;4;11767700.75;8485.75;1633.5;9736.0;95899105.341;95899105.341;37488.331;Polygon;47070803.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;1119;3.004;0.501;8098929.256;21533;4633;470401.416;1338.414;370.616;2056.397;2617944884.316;2339539.664;7237.649;Polygon;2179369760.0
gphlin500;4;14;3.286;0.822;1610812.033;1045;31;446349289.194;44185.419;8279.871;52344.323;0.0;0.0;94753.649;Line;13836827965.0
gphpnt500;3;5;0.6;0.2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;12;12;3.833;0.319;26231.949;33;9;385373.111;2444.444;248.0;2550.556;0.0;0.0;3278.994;Line;3468358.0
hdcpnt500;11;69;0.159;0.014;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin500;4;24;2.167;0.542;3486555.2;13776;1814;682716.966;1873.579;244.574;2083.786;0.0;0.0;145273.133;Line;1238448577.0
hddpnt500;3;37;0.081;0.027;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin500;8;1457;2.056;0.257;7516251.69;27100;4894;352048.433;1508.039;220.682;1670.32;0.0;0.0;6008.195;Line;1722925029.0
hdrpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol500;14;717;3.079;0.22;7851787.314;49945;11472;3820225.237;5741.504;299.437;6305.489;28157730513.045;39271590.674;10950.889;Polygon;43825623922.0
hdtlin500;14;10;4.5;0.321;681157.655;387;24;332650661.75;26161.333;2877.292;28494.708;0.0;0.0;97308.236;Line;7983615882.0
hdtpnt500;15;22;0.682;0.045;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol500;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin500;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
pippnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
pippol500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
poppnt500;9;65;0.138;0.015;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol500;14;683;4.906;0.35;2862870.167;10266;3957;112264.839;568.296;238.981;949.925;580230822.772;847052.296;4179.373;Polygon;444231966.0
rdclin500;13;17;3.765;0.29;54208.336;104;13;872298.077;3908.0;270.231;4013.077;0.0;0.0;4169.872;Line;11339875.0
rdcpnt500;13;77;0.169;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin500;12;1006;3.043;0.254;12308026.453;36885;3933;1086176.811;3090.127;351.181;3313.709;0.0;0.0;12701.782;Line;4271933397.0
rdspnt500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin500;7;5;3.8;0.543;20299.137;51;7;490636.714;2828.429;210.286;2978.429;0.0;0.0;4059.827;Line;3434457.0
rlfpnt500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol500;9;2;6.5;0.722;18487.316;68;14;213838.071;1327.071;167.143;1499.429;4346082.265;2173041.132;9243.658;Polygon;2993733.0
rlhlin500;5;419;2.029;0.406;11402836.528;46030;6927;393758.572;1534.354;274.569;1833.869;0.0;0.0;27214.407;Line;2727565627.0
rlhpnt500;7;75;0.093;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
