layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;27;3.074;0.768;1347459.001;3164;756;798026.131;1853.827;374.229;2253.233;0.0;0.0;40832.091;Line;603307755.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;4;5.5;0.786;3256187.507;4958;1253;18509556.019;2538.074;592.784;3144.501;60219633435.959;2316139747.537;125237.981;Polygon;23192473692.0
bldlin200;4;17480;2.816;0.704;6550256.177;11357;3303;33572.719;357.289;141.731;613.81;0.0;0.0;2064.373;Line;110890692.0
bldpnt200;9;22407;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;185;4.027;0.403;140177.074;1052;260;20765.388;69.935;141.804;574.704;5039661.579;27241.414;757.714;Polygon;5399001.0
blkpol200;9;10000;3.966;0.441;9923543.955;54836;12096;46525.09;70.589;194.652;851.541;546039333.028;54603.933;992.354;Polygon;562767491.0
comlin200;8;576;2.53;0.316;10430765.662;5362;1472;5288552.89;7491.549;933.739;8149.802;0.0;0.0;22774.598;Line;7784749854.0
compnt200;7;17;0.412;0.059;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;31;2.452;0.409;1726444.521;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol200;8;20;3.8;0.475;4461791.958;100;20;3109971201.5;0.0;68166.35;223089.55;62199424030.078;3109971201.504;223089.598;Polygon;62199424030.0
csrlin200;10;47;3.255;0.326;32310.442;140;36;77378.028;462.944;195.528;723.528;0.0;0.0;1153.944;Line;2785609.0
csrpnt200;11;7188;0.002;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;1770;4.06;0.312;3603005.337;14485;3841;115490.233;286.048;254.503;1056.261;432785193.173;244511.409;2035.596;Polygon;443597984.0
forlin200;5;25;3.08;0.616;29202.052;9;3;158243.333;857.0;364.0;1159.333;0.0;0.0;9734.017;Line;474730.0
gdcpnt200;7;1494;0.005;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol200;6;514;3.016;0.503;2503404.179;12226;3626;108808.415;666.601;183.42;1023.312;607020425.03;1180973.59;4870.436;Polygon;394539313.0
hdclin200;12;365;2.326;0.194;652560.844;2608;524;177297.532;1077.828;187.384;1272.048;0.0;0.0;2674.43;Line;92903907.0
hdcpnt200;11;102;0.108;0.01;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;12;3.25;0.65;66174.473;279;69;151869.522;762.667;183.449;1173.826;11354639.479;946219.957;5514.539;Polygon;10478997.0
hddlin200;4;30;2.1;0.525;640910.638;2876;615;215451.535;997.711;207.223;1250.476;0.0;0.0;21363.688;Line;132502694.0
hddpnt200;3;73;0.041;0.014;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200;8;10554;1.996;0.249;14568676.882;44492;12216;113484.23;854.348;159.045;1010.911;0.0;0.0;2602.944;Line;1386323351.0
hdrpnt200;7;62;0.113;0.016;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol200;14;3787;3.045;0.217;19858563.083;106618;26391;1097908.962;1738.778;184.683;2173.187;24271867646.298;6409260.007;5243.877;Polygon;28974915407.0
hdtlin200;14;2628;2.017;0.144;2129911.926;5251;1212;262408.693;991.654;242.488;1390.089;0.0;0.0;2954.108;Line;318039336.0
hdtpnt200;16;31;0.516;0.032;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piippnt200;7;7;1.0;0.143;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin200;12;840;3.024;0.252;4844047.771;4247;961;2129244.226;4825.545;472.52;5133.206;0.0;0.0;9688.096;Line;2046203701.0
poppnt200;9;14;0.643;0.071;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;1714;4.892;0.349;13393363.978;39165;15940;169712.81;747.57;252.054;1144.01;4703085445.506;2710712.072;7719.518;Polygon;2705222189.0
rdclin200;14;461;3.221;0.23;590596.523;674;159;403857.132;2645.509;188.623;2739.692;0.0;0.0;4508.37;Line;64213284.0
rdcpnt200;14;573;0.024;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200;12;58259;2.92;0.243;51812078.995;68733;20465;161707.455;1293.887;164.214;1412.248;0.0;0.0;3258.211;Line;3309343062.0
rdspnt200;10;25;0.4;0.04;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin200;7;469;3.017;0.431;627479.608;2727;629;106285.938;918.231;133.148;1033.312;0.0;0.0;1568.699;Line;66853855.0
rlfpnt200;8;1583;0.005;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;14;4.5;0.5;16728.435;140;20;63080.95;212.05;202.85;895.35;1167786.658;83413.333;1194.888;Polygon;1261619.0
rlhlin200;5;2486;2.015;0.403;60332181.336;234712;60603;160634.524;958.409;213.279;1255.162;0.0;0.0;24356.957;Line;9734934064.0
rlhpnt200;7;222;0.032;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin200;7;325;3.037;0.434;2042257.687;2660;355;4579740.29;5548.242;470.254;5843.654;0.0;0.0;8301.861;Line;1625807803.0
rrspnt200;8;390;0.021;0.003;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin200;8;12368;1.961;0.245;20732019.623;18548;5286;353410.471;1980.577;289.408;2230.683;0.0;0.0;4528.619;Line;1868127751.0
vegpnt200;7;2016;0.003;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
