layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;6;3.333;0.833;437148.542;720;130;3757969.431;3351.338;614.323;3871.615;0.0;0.0;39740.777;Line;488536026.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;2;6.0;0.857;2207697.129;1235;220;132758459.364;9128.645;1667.327;10595.291;105225521809.122;17537586968.187;367949.522;Polygon;29206861060.0
bldlin200;4;44;3.023;0.756;13589.973;29;9;14190.889;299.667;92.556;396.444;0.0;0.0;1509.997;Line;127718.0
bldpnt200;9;529;0.017;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;2;7.0;0.7;799.862;10;2;6402.5;0.0;40.0;399.5;12805.169;6402.585;399.931;Polygon;12805.0
blkpol200;9;54;4.111;0.457;53912.058;309;82;36736.524;138.256;148.0;716.415;2841238.453;52615.527;998.371;Polygon;3012395.0
comlin200;8;18;3.0;0.375;717713.091;344;72;8529978.5;10994.278;1002.417;11533.25;0.0;0.0;44857.068;Line;614158452.0
compnt200;7;9;0.778;0.111;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;83;2.301;0.384;3911627.207;2512;55;1428284.945;43093.673;49.473;43093.964;0.0;0.0;71120.495;Line;78555672.0
crdpol200;8;48;3.604;0.451;9209837.365;5046;118;564209943.924;54743.975;16703.119;78572.966;105231047587.015;2192313491.396;191871.612;Polygon;66576773383.0
csrlin200;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
csrpnt200;11;167;0.066;0.006;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
forlin200;5;601;3.003;0.601;2010415.585;586;191;2068563.482;4973.953;578.293;5364.246;0.0;0.0;13492.722;Line;395095625.0
gdcpnt200;7;1171;0.006;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpnt200;3;107;0.028;0.009;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin200;12;404;2.312;0.193;379601.299;930;248;60389.573;967.065;100.512;1017.137;0.0;0.0;1608.48;Line;14976614.0
hdcpnt200;11;512;0.021;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol200;5;107;3.028;0.606;1554611.425;4892;1187;338379.075;1305.231;239.855;1720.759;866813181.342;8101057.77;14529.079;Polygon;401655962.0
hdddlin200;4;19;2.158;0.539;895519.196;1923;154;7616138.766;5037.494;795.078;6045.013;0.0;0.0;47132.589;Line;1172885370.0
hddpnt200;3;9;0.333;0.111;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin200;8;20611;2.027;0.253;38537612.26;232421;73348;46244.129;537.911;109.097;639.38;0.0;0.0;2116.986;Line;3391914373.0
hdrpnt200;7;1;7.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtlin200;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt200;16;23;0.696;0.043;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol200;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin200;12;19;3.947;0.329;526667.437;307;44;8311709.364;12705.318;961.455;13080.591;0.0;0.0;37619.103;Line;365715212.0
pippnt200;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt200;9;79;0.114;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol200;14;41;5.463;0.39;129506.127;461;164;126756.896;454.183;232.366;963.134;28183090.024;687392.44;3158.686;Polygon;20788131.0
rdclin200;14;25;3.48;0.249;54485.101;144;28;276378.321;1830.286;159.321;1900.321;0.0;0.0;2594.529;Line;7738593.0
rdcpnt200;14;148;0.095;0.007;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin200;12;992;3.017;0.251;7555238.737;17601;2545;881753.592;3010.925;307.365;3190.805;0.0;0.0;8595.266;Line;2244062892.0
rdspnt200;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin200;7;270;3.022;0.432;207815.413;1229;275;62989.644;676.673;111.476;752.68;0.0;0.0;793.189;Line;17322152.0
rlfpnt200;8;575;0.014;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol200;9;291;4.034;0.448;2522661.584;4648;843;1786402.814;1895.963;706.32;3448.056;1792529476.647;6159895.109;8668.94;Polygon;1505937572.0
rlhlin200;5;22243;1.992;0.398;138791146.744;895990;229727;69768.673;508.729;168.981;776.314;0.0;0.0;6243.136;Line;16027748004.0
rlhpnt200;7;1829;0.004;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin200;7;10;3.6;0.514;296378.16;637;59;2012557.915;5023.712;437.983;5331.763;0.0;0.0;37047.27;Line;118740917.0
rrspnt200;8;1;8.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin200;8;2084;2.003;0.25;3038785.944;10270;3053;105190.175;959.547;149.902;1063.77;0.0;0.0;1663.265;Line;321145605.0
vegpnt200;7;6895;0.001;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
