layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin500;4;1;4.0;1.0;285417.595;502;145;1744402.745;2210.097;387.848;2536.979;0.0;0.0;285417.595;Line;252938398.0
admpol500;6;2;5.5;0.917;1742876.748;1010;294;177419722.272;5159.214;1538.959;6498.139;77832653664.985;38916326832.493;871438.374;Polygon;52161398348.0
bldpnt500;9;520;0.017;0.002;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
blkpol500;9;125;4.04;0.449;266039.321;691;160;210034.45;197.637;397.456;1737.419;32769908.667;262159.269;2128.315;Polygon;33605512.0
comlin500;8;17;3.529;0.441;987534.991;335;103;12345882.573;11314.243;1550.32;12179.845;0.0;0.0;54863.055;Line;1271625905.0
compnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
compol500;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
crdlin500;6;4;4.75;0.792;497647.092;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol500;9;4;6.5;0.722;2167315.694;20;4;19426468024.75;0.0;150275.75;541829.0;77705872098.169;19426468024.542;541828.923;Polygon;77705872099.0
csrlin500;11;1;11.0;1.0;496340.861;1109;347;520159.032;1375.331;286.553;1740.778;0.0;0.0;496340.861;Line;180495184.0
csrpnt500;11;190;0.058;0.005;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol500;13;5;8.0;0.615;508805.927;1147;357;511534.347;1354.955;287.832;1732.227;6410909120.926;1282181824.185;101761.185;Polygon;182617762.0
forlin500;5;235;3.013;0.603;2128643.672;1397;291;2903894.23;7187.137;655.952;7652.56;0.0;0.0;10485.929;Line;845033221.0
gdcpnt500;7;39;0.179;0.026;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
ghppol500;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
gndpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol500;6;990;3.005;0.501;5887656.879;16804;4616;270267.19;1006.371;313.096;1596.446;1414234297.444;1428519.492;5947.128;Polygon;1247553350.0
gphlin500;4;4;4.0;1.0;661452.391;252;5;167759832.6;132029.8;2069.8;132290.6;0.0;0.0;132290.478;Line;838799163.0
gphpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdclin500;12;4;5.5;0.458;7460.301;14;3;229202.667;2125.333;263.0;2280.333;0.0;0.0;2486.767;Line;687608.0
hdcpnt500;11;1;11.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol500;5;1;5.0;1.0;4587.576;13;3;395812.333;1075.0;421.667;1643.333;1219415.966;1219415.966;4587.576;Polygon;1187437.0
hddlin500;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt500;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin500;8;554;2.132;0.267;5004106.297;17333;4210;246215.757;1200.848;245.86;1439.978;0.0;0.0;9114.948;Line;1036568336.0
hdrpnt500;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol500;14;1423;3.021;0.216;10061521.777;39830;5814;63913944.468;23096.752;817.848;25019.069;9021767152.025;6339962.862;7070.641;Polygon;371595673135.0
hdtlin500;14;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt500;15;2;7.5;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdtpol500;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
piplin500;12;19;3.895;0.325;1436676.146;831;154;12286650.396;10229.903;1349.877;11084.11;0.0;0.0;75614.534;Line;1892144161.0
pippnt500;7;18;0.389;0.056;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
pippol500;8;1;8.0;1.0;3057.912;8;3;180402.333;875.333;187.333;1280.333;517309.552;517309.552;3057.912;Polygon;541207.0
poppnt500;9;17;0.529;0.059;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol500;14;73;5.233;0.374;365816.797;984;363;246079.964;763.835;326.116;1314.496;107537871.759;1473121.531;5011.189;Polygon;89327027.0
rdclin500;13;1;13.0;1.0;1116.847;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
rdcpnt500;13;3;4.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin500;12;232;3.095;0.258;3379609.726;5396;699;3302998.28;4816.619;591.963;5225.059;0.0;0.0;15432.008;Line;2308795798.0
rdspnt500;11;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin500;7;72;3.236;0.462;152257.888;535;78;384538.487;1793.308;290.218;1973.321;0.0;0.0;2144.477;Line;29994002.0
rlfpnt500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol500;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlglin500-1;5;84;2.071;0.414;12344370.891;37195;6780;467122.788;1709.41;361.214;2152.312;0.0;0.0;146956.796;Line;3167092500.0
rlhlin500;5;84;2.071;0.414;12344370.891;37195;6780;467122.788;1709.41;361.214;2152.312;0.0;0.0;146956.796;Line;3167092500.0
rlhpnt500;7;66;0.106;0.015;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin500;7;5;4.0;0.571;359894.421;481;15;28032807.733;22586.933;2065.533;24391.8;0.0;0.0;71978.884;Line;420492116.0
rrspnt500;8;15;0.533;0.067;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
veglin500;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
vegpnt500;7;59;0.119;0.017;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
vegpol500;8;75;3.107;0.388;29501104.468;110000;26348;10164901.724;10124.213;517.804;11216.106;73840220239.185;889641207.701;355434.994;Polygon;267824830623.0
