layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin1000;4;136;3.015;0.754;4872693.219;3996;1538;2526194.257;3274.837;977.493;4412.254;0.0;0.0;35055.347;Line;3885286768.0
admpol1000;11;66;4.864;0.442;10777975.324;7881;3092;3015856.818;3701.622;1023.211;4983.017;63595982160.388;815333104.62;138179.171;Polygon;9325029281.0
bldpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
blkpol1000;9;15;4.333;0.481;133785.484;166;46;1412528.891;2000.5;751.174;3483.913;62459445.919;4163963.061;8919.032;Polygon;64976329.0
comlin1000;8;11;3.727;0.466;649768.445;239;30;29067990.233;23417.1;1755.233;24080.167;0.0;0.0;72196.494;Line;872039707.0
compnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;2;4.0;0.667;393511.801;68;2;147050401.0;196739.0;1122.0;196756.0;0.0;0.0;196755.9;Line;294100802.0
crdpol1000;8;2;6.5;0.812;1426068.577;74;3;21285864662.667;130322.667;164537.333;476193.0;63569055969.461;31784527984.73;713034.288;Polygon;63857593988.0
csrpnt1000;11;4;2.75;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;2;9.0;0.692;194565.493;588;103;543788.835;1809.252;249.369;2139.563;430315839.665;107578959.916;48641.373;Polygon;56010250.0
gndpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hdclin1000;12;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;11;4;2.75;0.25;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin1000;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000;8;890;2.119;0.265;11285992.614;18233;4239;1029030.23;2786.197;447.942;3135.52;0.0;0.0;12942.652;Line;4362059145.0
hdrpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol1000;14;32;3.594;0.257;826322.498;1331;247;3136056.081;3270.822;684.008;4364.814;482885612.199;15090175.381;25822.578;Polygon;774605852.0
hdtlin1000;14;3;6.0;0.429;75293.732;66;13;4308123.231;5130.923;1302.692;6586.308;0.0;0.0;25097.911;Line;56005602.0
hdtpnt1000;15;18;0.833;0.056;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;61;3.197;0.266;1755282.862;805;103;21487688.689;17178.573;1266.398;17717.544;0.0;0.0;32505.238;Line;2213231935.0
pippnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;727;0.015;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;64;4.844;0.346;645249.535;962;320;765882.169;1635.297;580.756;2612.062;322844102.485;5044439.101;10082.024;Polygon;245082294.0
rdclin1000;13;1;13.0;1.0;558.07;3;1;15106.0;541.0;56.0;558.0;0.0;0.0;558.07;Line;15106.0
rdcpnt1000;13;3;4.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000;16;988;3.031;0.189;9044784.565;6827;1632;2502039.483;5618.438;634.572;5952.786;0.0;0.0;10480.631;Line;4083328436.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlflin1000;7;1;7.0;1.0;10048.263;10;1;1419875.0;9802.0;385.0;10048.0;0.0;0.0;10048.263;Line;1419875.0
rlfpnt1000;8;114;0.07;0.009;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;5;1326;2.014;0.403;51991219.461;88962;19854;1040472.763;2346.15;581.456;3196.465;0.0;0.0;39209.064;Line;20657546246.0
rlhpnt1000;7;124;0.056;0.008;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rrslin1000;7;29;3.276;0.468;853017.416;791;131;3932013.588;6652.771;788.687;7220.046;0.0;0.0;34120.697;Line;515093780.0
rrspnt1000;8;38;0.211;0.026;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
subject1000;9;5;9.0;1.0;1459525.163;425;151;99366938.503;9204.046;1545.536;10724.219;63489669698.517;12697933939.703;291905.033;Polygon;15004407714.0
veglin1000;8;4;3.5;0.438;12400.479;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
vegpnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
