layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admlin200;4;9;3.111;0.778;1289732.786;1852;599;1110072.624;2326.825;431.885;2732.546;0.0;0.0;92123.77;Line;664933502.0
admpnt200;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
admpol200;7;6;5.333;0.762;3685112.305;3708;1211;6844932.746;3131.029;537.515;3656.13;72667655871.13;6606150533.739;335010.21;Polygon;8289213556.0
bldlin200;4;9159;2.855;0.714;2871061.45;4821;1574;16127.048;384.31;80.013;442.428;0.0;0.0;1905.15;Line;25383973.0
bldpnt200;9;13111;0.001;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
bldpol200;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
blkpol200;9;2607;3.992;0.444;2350324.095;15306;3784;29876.958;109.926;151.686;667.948;106222229.775;40729.383;901.198;Polygon;113054409.0
comlin200;8;838;2.514;0.314;6443732.728;8448;1870;1189710.435;3485.466;324.533;3663.096;0.0;0.0;11631.287;Line;2224758514.0
compnt200;7;13;0.538;0.077;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin200;6;40;2.625;0.438;2209213.666;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
crdpol200;8;25;4.24;0.53;5524094.587;125;25;2903893199.08;0.0;58693.2;220963.84;72597329977.676;2903893199.107;220963.783;Polygon;72597329977.0
csrlin200;10;15;3.8;0.38;12972.646;79;15;66871.267;156.467;189.4;864.867;0.0;0.0;864.843;Line;1003069.0
csrpnt200;11;2830;0.004;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol200;13;89;4.539;0.349;238841.591;940;280;145048.671;519.775;259.675;1073.539;61350369.085;689329.99;2683.613;Polygon;40613628.0
forlin200;5;10934;2.994;0.599;20711240.299;13873;3474;184585.783;2177.746;133.857;2283.035;0.0;0.0;6510.921;Line;641251010.0
gdcpnt200;7;1179;0.006;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
