layer;field_count;features_count;uniq_values_number;average_uniq_values;total_length;number_of_points;number_of_bends;average_area_of_bends;average_length_of_bends_baseline;average_height_of_bends;average_length_of_the_bends;total_polygons_area;average_polygons_area;average_length;layer_type;total_bends_area
admin1000k;4;167;3.012;0.753;5359197.949;6610;2542;1098544.105;2259.294;619.821;2915.974;0.0;0.0;30277.955;Line;2792499116.0
admpol1000;11;79;5.038;0.458;11717712.649;13011;5091;1322401.443;2575.448;640.195;3293.98;61769236367.866;686324848.532;130196.807;Polygon;6732345747.0
bldpnt1000;8;2;4.0;0.5;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
BLKPOL1000YO;9;52;4.096;0.455;538934.372;734;269;763333.197;1649.833;613.468;2654.264;252870442.442;4862893.124;10364.123;Polygon;205336630.0
comlin1000;8;5;4.4;0.55;310169.142;91;25;17850748.48;15340.36;1644.72;16112.88;0.0;0.0;77542.286;Line;446268712.0
compnt1000;7;3;2.333;0.333;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
crdlin1000;6;2;4.0;0.667;397399.446;68;2;151452405.0;198682.0;1144.0;198700.0;0.0;0.0;198699.723;Line;302904810.0
crdpol1000;8;2;6.5;0.812;1413519.859;74;3;20679456348.333;130885.0;102545.667;472743.333;61745990463.288;30872995231.644;706759.929;Polygon;62038369045.0
csrpnt1000;11;1;11.0;1.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
csrpol1000;13;1;13.0;1.0;86073.428;74;36;2674731.333;2649.917;816.583;3450.361;219361044.38;219361044.38;86073.428;Polygon;96290328.0
gndpnt1000;3;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
gndpol1000;6;294;3.01;0.502;3228873.817;3379;952;1745451.128;2109.308;845.859;4095.269;1740336318.297;5919511.287;10982.564;Polygon;1661669474.0
hdclin1000;13;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdcpnt1000;12;5;2.4;0.2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdcpol1000;6;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
hddlin1000;5;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hddpnt1000;4;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrlin1000clip;9;32;3.438;0.382;50782.625;116;32;139103.5;1452.75;153.469;1512.688;0.0;0.0;1953.178;Line;4451312.0
hdrpnt1000;8;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
hdrpol1000;15;233;4.094;0.273;1750633.801;3959;809;976417.602;1694.028;500.839;2615.765;516627728.207;2217286.387;7513.45;Polygon;789921840.0
hdtlin1000;15;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Line;0.0
hdtpnt1000;16;23;0.696;0.043;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
piplin1000;12;35;3.343;0.279;1275627.232;1349;174;3465997.782;7747.0;609.845;8117.638;0.0;0.0;42520.908;Line;603083614.0
pippnt1000;7;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppnt1000;11;756;0.015;0.001;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
poppol1000;14;106;5.189;0.371;1542066.04;1897;841;782045.993;1613.338;631.969;2557.629;831060741.913;7840195.678;14547.793;Polygon;657700680.0
railway1000k;7;99;3.111;0.444;2308232.754;1853;245;5452145.465;9755.91;709.302;10102.731;0.0;0.0;22853.79;Line;1335775639.0
rdclin1000-;13;1;13.0;1.0;500.635;3;1;501.0;501.0;2.0;501.0;0.0;0.0;500.635;Line;501.0
rdcpnt1000;13;14;0.929;0.071;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rdslin1000clip;16;113;3.31;0.207;195005.287;209;69;219570.203;1857.768;225.362;2029.826;0.0;0.0;3482.237;Line;15150344.0
rdspnt1000;10;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rivers1000k;9;1166;3.067;0.341;9547795.543;14398;3666;852093.493;2698.607;429.549;3013.678;0.0;0.0;9342.266;Line;3123774744.0
rlflin1000;7;6;3.667;0.524;15396.19;29;6;388796.333;2408.667;269.0;2566.0;0.0;0.0;2566.032;Line;2332778.0
rlfpnt1000;8;68;0.118;0.015;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
rlfpol1000;9;0;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Polygon;0.0
rlhlin1000;6;409;3.02;0.503;15986152.238;27366;5969;1155330.401;2400.954;608.511;3249.363;0.0;0.0;34527.327;Line;6896167163.0
rlhpnt1000;8;68;0.118;0.015;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
roads1000k;16;1395;3.047;0.19;10852587.39;7381;1915;2334365.034;5577.105;633.392;5926.381;0.0;0.0;9587.091;Line;4470309040.0
rrspnt1000;8;78;0.103;0.013;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Point;0.0
SubjectRF1000;9;7;9.0;1.0;3481974.345;2614;835;16077616.246;4283.655;936.605;5198.934;61706993077.931;8815284725.419;497424.906;Polygon;13424809565.0
