Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ200;admlin200.shp;1891;882;34;499840752;1005690;2382;2038;350;2067;566713;7;3.143;0.786;7;
ВОРОНЕЖ200;bldlin200.shp;68790;5920;52;116676178;9842196;491;399;90;408;19809;30694;2.705;0.676;30694;
ВОРОНЕЖ200;comlin200.shp;4198;2112;16;13988105605;6388675;10154;9864;674;9869;6629434;396;2.538;0.317;396;
ВОРОНЕЖ200;crdlin200.shp;62;0;0;0;1615732;NaN;NaN;NaN;NaN;NaN;31;2.484;0.414;31;
ВОРОНЕЖ200;csrlin200.shp;1170;466;37;74170855;293086;1200;975;186;1005;159165;41;3.390;0.339;41;
ВОРОНЕЖ200;forlin200.shp;57;3;3;37319;46693;1660;1660;15;1660;12440;27;3.074;0.615;27;
ВОРОНЕЖ200;hdclin200.shp;545;100;23;7390766;157780;1071;980;115;992;73908;177;3.288;0.253;177;
ВОРОНЕЖ200;hddlin200.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ200;hdrlin200.shp;44979;17060;25;1811178015;10314031;1078;975;145;979;106290;5597;3.027;0.336;5597;
ВОРОНЕЖ200;hdrlin200clip.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ200;hdtlin200.shp;4115;285;44;23583502;613763;823;564;152;617;82749;1761;2.974;0.198;1761;
ВОРОНЕЖ200;piplin200.shp;1694;720;16;2938580999;1578357;8493;8185;586;8194;4092731;177;3.141;0.262;177;
ВОРОНЕЖ200;rdclin200.shp;698;172;12;247698280;254927;2637;2476;273;2476;1440106;191;3.340;0.239;191;
ВОРОНЕЖ200;rdslin200.shp;95149;29061;20;5285550230;35271524;1661;1568;160;1571;182172;22330;2.971;0.248;22330;
ВОРОНЕЖ200;rlflin200.shp;62999;23716;18;522730879;8015702;585;546;54;551;22522;11486;2.990;0.427;11486;
ВОРОНЕЖ200;rlhlin200.shp;476985;162058;30;23334910371;100179046;1132;848;221;887;144198;10949;2.957;0.493;10949;
ВОРОНЕЖ200;rrslin200.shp;3968;1406;11;19172600317;1989552;9233;8539;998;8543;13655698;333;3.036;0.434;333;
ВОРОНЕЖ200;veglin200.shp;16975;5320;22;1333471924;8921727;2128;1977;197;1987;250747;4465;3.002;0.334;4465;
ГРОЗНЫЙ200;admlin200.shp;2693;1054;27;1256190341;1477856;3669;3288;408;3319;1191831;18;3.111;0.778;18;
ГРОЗНЫЙ200;bldlin200.shp;11768;1054;74;27410878;1714203;511;327;132;345;26155;5070;2.862;0.715;5070;
ГРОЗНЫЙ200;comlin200.shp;4840;2264;20;12091026852;7799966;8449;8080;712;8088;5354751;490;2.524;0.316;490;
ГРОЗНЫЙ200;crdlin200.shp;488;10;0;27676076;1110725;69697;69697;71;69697;3459510;17;2.706;0.451;17;
ГРОЗНЫЙ200;csrlin200.shp;196;54;36;26568928;56129;1801;1470;311;1504;492017;18;3.667;0.367;18;
ГРОЗНЫЙ200;forlin200.shp;120;8;47;5638891;97015;2613;2163;591;2164;704861;55;3.036;0.607;55;
ГРОЗНЫЙ200;piplin200.shp;6652;2671;14;12973168446;4948132;6501;6302;456;6305;4915941;796;3.024;0.252;796;
ГРОЗНЫЙ200;rdclin200.shp;664;172;10;211631397;430516;7204;7024;332;7033;1230415;134;3.515;0.251;134;
ГРОЗНЫЙ200;rdslin200.shp;95887;25310;19;6735924688;31082942;1864;1752;189;1755;266886;24052;2.975;0.248;24052;
ГРОЗНЫЙ200;rlflin200.shp;10512;3865;19;324051424;2392143;1108;1042;113;1045;83908;1517;3.004;0.429;1517;
ГРОЗНЫЙ200;rrslin200.shp;1069;411;9;8136523107;803624;13013;12655;865;12660;19845178;114;3.105;0.444;114;
МОСКВА200;admlin200.shp;4910;2229;33;700387303;1766176;1624;1375;268;1391;314216;12;3.083;0.771;12;
МОСКВА200;bldlin200.shp;58578;2944;56;45949802;7688558;426;351;85;355;15769;27633;2.647;0.662;27633;
МОСКВА200;comlin200.shp;5488;3008;12;22936866140;7788947;12861;12618;723;12619;7625288;468;2.534;0.317;468;
МОСКВА200;crdlin200.shp;80;0;0;0;2174502;NaN;NaN;NaN;NaN;NaN;40;2.375;0.396;40;
МОСКВА200;csrlin200.shp;2321;632;39;85112503;400804;868;567;190;619;135099;255;3.169;0.317;255;
МОСКВА200;forlin200.shp;221;13;39;2682525;128000;1785;1616;228;1616;206348;104;3.019;0.604;104;
МОСКВА200;piplin200.shp;4056;2011;16;3152027055;3315570;5515;5341;405;5342;1568173;203;3.084;0.257;203;
МОСКВА200;rdclin200.shp;3107;946;14;314806353;1140491;2009;1927;154;1931;333481;744;3.132;0.224;744;
МОСКВА200;rdslin200.shp;172214;54056;20;6976645574;51276051;1381;1307;138;1308;129267;39468;2.961;0.247;39468;
МОСКВА200;rlflin200.shp;32955;11811;20;521426534;4423099;704;639;85;644;44877;4403;2.984;0.426;4403;
МОСКВА200;rrslin200.shp;12388;4857;13;16761645423;5609401;6483;6176;536;6179;3455297;1077;3.017;0.431;1077;
ПЕТРОЗАВОДСК200;admlin200.shp;572;299;24;326007063;551949;4675;4364;416;4377;1090325;3;3.333;0.833;3;
ПЕТРОЗАВОДСК200;bldlin200.shp;3665;399;53;4147070;411864;345;297;66;297;10552;1616;2.934;0.734;1616;
ПЕТРОЗАВОДСК200;comlin200.shp;28504;14038;13;15058789077;12303949;3749;3644;245;3644;1078555;1600;2.509;0.314;1600;
ПЕТРОЗАВОДСК200;crdlin200.shp;98;0;0;0;2727093;NaN;NaN;NaN;NaN;NaN;49;2.327;0.388;49;
ПЕТРОЗАВОДСК200;csrlin200.shp;1010;309;29;181626989;241831;1632;1371;250;1394;591619;98;3.306;0.331;98;
ПЕТРОЗАВОДСК200;forlin200.shp;69843;2122;40;643785963;39537110;2151;1956;271;1959;303816;33765;2.942;0.588;33765;
ПЕТРОЗАВОДСК200;piplin200.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
