Region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ1000;admpol1000.shp;7247;85806016268;10157597;1406656004;166518;61;5.164;0.469;61;
ВОРОНЕЖ1000;blkpol1000.shp;965;578315884;773209;9638598;12887;60;4.083;0.454;60;
ВОРОНЕЖ1000;crdpol100.shp;66;54534868881;1333823;27267434440;666912;2;6.500;0.812;2;
ВОРОНЕЖ1000;csrpol1000.shp;83;368707352;87980;368707352;87980;1;13.000;1.000;1;
ВОРОНЕЖ1000;gndpol1000.shp;449;215317041;247251;10253192;11774;21;4.143;0.592;21;
ВОРОНЕЖ1000;hdcpol1000.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;hdrpol1000.shp;959;432133534;418270;7856973;7605;55;4.255;0.284;55;
ВОРОНЕЖ1000;rlfpol1000.shp;0;0;0;NaN;NaN;0;0;0;0;
ВОРОНЕЖ1000;vegpol1000.shp;6320;8334348164;3629608;62664272;27290;133;4.045;0.449;133;
ВОРОНЕЖ1000;vegpol1000clip.shp;0;0;0;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ1000;admpol1000.shp;5827;83776998832;8415266;1611096131;161832;52;5.212;0.474;52;
ГРОЗНЫЙ1000;blkpol1000.shp;189;220337578;150722;31476797;21532;7;4.714;0.524;7;
ГРОЗНЫЙ1000;crdpol1000.shp;62;50905404201;1320650;25452702100;660325;2;6.500;0.812;2;
ГРОЗНЫЙ1000;csrpol1000.shp;21;5677411;18921;1892470;6307;3;9.333;0.718;3;
ГРОЗНЫЙ1000;poppol1000.shp;1266;908957708;1045252;10820925;12443;84;5.250;0.375;84;
ГРОЗНЫЙ1000;rlfpol1000.shp;1951;706793781;629371;20788052;18511;34;4.147;0.461;34;
МОСКВА1000;admpol1000.shp;18107;120819541587;14646294;1245562284;150993;97;5.041;0.458;97;
МОСКВА1000;blkpol1000.shp;2570;1617887088;2056132;9245069;11749;175;4.029;0.448;175;
МОСКВА1000;crdpol1000.shp;80;71708812304;1523367;35854406152;761684;2;6.500;0.812;2;
МОСКВА1000;csrpol1000.shp;22;60376433;30618;60376433;30618;1;13.000;1.000;1;
МОСКВА1000;poppol1000.shp;4003;4492234107;2856074;28612956;18192;157;5.115;0.365;157;
МОСКВА1000;rlfpol1000.shp;0;0;0;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК1000;admpol1000.shp;7305;175981972287;8983448;8799098614;449172;20;5.700;0.518;20;
ПЕТРОЗАВОДСК1000;blkpol1000.shp;363;91193553;242487;2533154;6736;36;4.139;0.460;36;
ПЕТРОЗАВОДСК1000;crdpol1000.shp;5;89056744387;1252104;89056744387;1252104;1;8.000;1.000;1;
ПЕТРОЗАВОДСК1000;csrpol1000.shp;139;626952824;153231;313476412;76615;2;9.000;0.692;2;
ПЕТРОЗАВОДСК1000;poppol1000.shp;824;257818701;507659;3222734;6346;80;4.675;0.334;80;
