Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ200;admlin200.shp;1891;882;34;499840752;1005690;2382;2038;350;2067;566713;7;3,143;0,786;7;
ГРОЗНЫЙ200;admlin200.shp;2693;1054;27;1256190341;1477856;3669;3288;408;3319;1191831;18;3,111;0,778;18;
МОСКВА200;admlin200.shp;4910;2229;33;700387303;1766176;1624;1375;268;1391;314216;12;3,083;0,771;12;
ПЕТРОЗАВОДСК200;admlin200.shp;572;299;24;326007063;551949;4675;4364;416;4377;1090325;3;3,333;0,833;3;
РОСТОВ-ДОН200;admlin200.shp;3164;1263;39;1295361796;1531478;3041;2681;380;2707;1025623;27;3,074;0,769;27;
САЛЕХАРД200;admlin200.shp;720;275;18;1890481650;442970;5917;5349;813;5367;6874479;6;3,333;0,833;6;
СУРГУТ200;admlin200.shp;204;98;24;339229723;265297;6976;6589;586;6596;3461528;1;4;1;1;
УСТЮГ200;admlin200.shp;1852;929;32;1126618691;1363170;3960;3612;401;3631;1214029;9;3,111;0,778;9;
УФА200;admlin200.shp;366;181;28;141000082;217888;2466;2156;363;2178;779006;4;3,25;0,812;4;
ВОРОНЕЖ500;admlin500.shp;1640;638;23;870885433;957326;3443;2944;522;2981;1380167;7;3,143;0,786;7;
ГРОЗНЫЙ500;admlin500.shp;1239;519;35;1732695099;1329966;5389;4629;759;4704;3371002;10;3,2;0,8;10;
МОСКВА500;admlin500.shp;3782;1634;32;1368045481;2022162;2651;2226;435;2259;843431;21;3,048;0,762;21;
ПЕТРОЗАВОДСК500;admlin500.shp;325;165;33;601836767;538133;5989;5277;836;5313;3647496;3;3,333;0,833;3;
РОСТОВ-ДОН500;admlin500.shp;2239;901;38;2435852061;1471015;3986;3463;566;3501;2727718;24;3,083;0,771;24;
САЛЕХАРД500;admlin500.shp;417;157;21;976239057;435945;6923;6219;931;6245;6218083;3;3,667;0,917;3;
СУРГУТ500;admlin500.shp;502;218;23;310060007;285418;3572;3291;354;3303;1428848;1;4;1;1;
УСТЮГ500;admlin500.shp;1626;779;35;1503994561;1324658;4255;3828;498;3849;1933155;7;3,143;0,786;7;
УФА500;admlin500.shp;424;202;20;289820752;210530;3812;3513;447;3532;1471171;4;3,25;0,812;4;
ВОРОНЕЖ1000;admlin1000.shp;3706;1891;49;4020505020;4564165;4316;3481;810;3554;2126126;136;3,015;0,754;136;
ГРОЗНЫЙ1000;admlin1000.shp;3018;1391;34;3887322151;3749325;5453;4745;779;4794;2794624;115;3,026;0,757;115;
МОСКВА1000;admlin1000.shp;9193;4279;39;4682260316;6610859;3038;2516;543;2551;1096805;221;3,009;0,752;221;
