Region;Name;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ГРОЗНЫЙ200;admpnt200;0;0;0;0;
МОСКВА200;admpnt200;0;0;0;0;
ПЕТРОЗАВОДСК200;admpnt200;0;0;0;0;
РОСТОВ-ДОН200;admpnt200;0;0;0;0;
САЛЕХАРД200;admpnt200;0;0;0;0;
СУРГУТ200;admpnt200;0;0;0;0;
УСТЮГ200;admpnt200;0;0;0;0;
УФА200;admpnt200;0;0;0;0;
ВОРОНЕЖ200;adnpnt200;0;0;0;0;
ВОРОНЕЖ200;bldpnt200;21669;2;0,222;21669;
ГРОЗНЫЙ200;bldpnt200;125;4,056;0,406;125;
МОСКВА200;bldpnt200;40705;2;0,222;40705;
ПЕТРОЗАВОДСК200;bldpnt200;5556;2,004;0,223;5556;
РОСТОВ-ДОН200;bldpnt200;22407;2,001;0,222;22407;
САЛЕХАРД200;bldpnt200;529;2,055;0,228;529;
СУРГУТ200;bldpnt200;1239;2,044;0,227;1239;
УСТЮГ200;bldpnt200;13111;2,001;0,222;13111;
УФА200;bldpnt200;13537;2,001;0,222;13537;
ГРОЗНЫЙ500;bldpnt500;2219;2,005;0,223;2219;
МОСКВА500;bldpnt500;1141;2,006;0,223;1141;
ПЕТРОЗАВОДСК500;bldpnt500;1330;2,013;0,224;1330;
РОСТОВ-ДОН500;bldpnt500;2144;2,004;0,223;2144;
САЛЕХАРД500;bldpnt500;188;2,197;0,244;188;
СУРГУТ500;bldpnt500;520;2,215;0,246;520;
УСТЮГ500;bldpnt500;250;2,04;0,227;250;
УФА500;bldpnt500;390;2,028;0,225;390;
ГРОЗНЫЙ1000;bldpnt1000;17;2,588;0,288;17;
МОСКВА1000;bldpnt1000;10;2,7;0,3;10;
ПЕТРОЗАВОДСК1000;bldpnt1000;52;2,231;0,248;52;
РОСТОВ-ДОН1000;bldpnt1000;0;0;0;0;
САЛЕХАРД1000;bldpnt1000;101;2,297;0,255;101;
СУРГУТ1000;bldpnt1000;127;2,457;0,273;127;
УСТЮГ1000;bldpnt1000;0;0;0;0;
ВОРОНЕЖ200;compnt200;12;2,5;0,357;12;
ГРОЗНЫЙ200;compnt200;10;3,1;0,443;10;
МОСКВА200;compnt200;37;2,216;0,317;37;
ПЕТРОЗАВОДСК200;compnt200;9;3,222;0,46;9;
РОСТОВ-ДОН200;compnt200;17;2,529;0,361;17;
САЛЕХАРД200;compnt200;9;2,778;0,397;9;
СУРГУТ200;compnt200;8;2,875;0,411;8;
УСТЮГ200;compnt200;13;2,846;0,407;13;
УФА200;compnt200;23;2,478;0,354;23;
ВОРОНЕЖ500;compnt500;0;0;0;0;
ГРОЗНЫЙ500;compnt500;1;7;1;1;
МОСКВА500;compnt500;5;3,6;0,514;5;
ПЕТРОЗАВОДСК500;compnt500;1;7;1;1;
РОСТОВ-ДОН500;compnt500;1;7;1;1;
САЛЕХАРД500;compnt500;4;3,75;0,536;4;
СУРГУТ500;compnt500;0;0;0;0;
УСТЮГ500;compnt500;2;5;0,714;2;
УФА500;compnt500;0;0;0;0;
ВОРОНЕЖ1000;compnt1000;0;0;0;0;
ГРОЗНЫЙ1000;compnt1000;0;0;0;0;
МОСКВА1000;compnt1000;3;4,333;0,619;3;
ПЕТРОЗАВОДСК1000;compnt1000;1;7;1;1;
РОСТОВ-ДОН1000;compnt1000;0;0;0;0;
САЛЕХАРД1000;compnt1000;5;3,4;0,486;5;
СУРГУТ1000;compnt1000;0;0;0;0;
УСТЮГ1000;compnt1000;2;5;0,714;2;
УФА1000;compnt1000;0;0;0;0;
ВОРОНЕЖ200;csrpnt200;5398;2,026;0,184;5398;
ГРОЗНЫЙ200;csrpnt200;3201;2,028;0,184;3201;
МОСКВА200;csrpnt200;6784;2,023;0,184;6784;
ПЕТРОЗАВОДСК200;csrpnt200;903;2,109;0,192;903;
РОСТОВ-ДОН200;csrpnt200;7188;2,013;0,183;7188;
САЛЕХАРД200;csrpnt200;167;2,222;0,202;167;
СУРГУТ200;csrpnt200;1536;2,037;0,185;1536;
УСТЮГ200;csrpnt200;2830;2,033;0,185;2830;
УФА200;csrpnt200;3892;2,037;0,185;3892;
ВОРОНЕЖ500;csrpnt500;247;2,101;0,191;247;
ГРОЗНЫЙ500;csrpnt500;538;2,097;0,191;538;
МОСКВА500;csrpnt500;328;2,07;0,188;328;
ПЕТРОЗАВОДСК500;csrpnt500;40;2,5;0,227;40;
РОСТОВ-ДОН500;csrpnt500;241;2,12;0,193;241;
САЛЕХАРД500;csrpnt500;13;4,077;0,371;13;
СУРГУТ500;csrpnt500;190;2,142;0,195;190;
УСТЮГ500;csrpnt500;74;2,257;0,205;74;
УФА500;csrpnt500;77;2,286;0,208;77;
ВОРОНЕЖ1000;csrpnt1000;0;0;0;0;
ГРОЗНЫЙ1000;csrpnt1000;60;2,417;0,22;60;
МОСКВА1000;csrpnt1000;6;4,667;0,424;6;
ПЕТРОЗАВОДСК1000;csrpnt1000;13;3,462;0,315;13;
РОСТОВ-ДОН1000;csrpnt1000;8;3,75;0,341;8;
САЛЕХАРД1000;csrpnt1000;0;0;0;0;
СУРГУТ1000;csrpnt1000;95;2,179;0,198;95;
УСТЮГ1000;csrpnt1000;0;0;0;0;
УФА1000;csrpnt1000;4;4,25;0,386;4;
ВОРОНЕЖ200;gdcpnt200;1097;2,143;0,306;1097;
ГРОЗНЫЙ200;gdcpnt200;1262;2,476;0,354;1262;
МОСКВА200;gdcpnt200;1365;2,133;0,305;1365;
ПЕТРОЗАВОДСК200;gdcpnt200;1455;2,315;0,331;1455;
РОСТОВ-ДОН200;gdcpnt200;1494;2,146;0,307;1494;
САЛЕХАРД200;gdcpnt200;1171;2,228;0,318;1171;
СУРГУТ200;gdcpnt200;722;2,112;0,302;722;
УСТЮГ200;gdcpnt200;1179;2,126;0,304;1179;
УФА200;gdcpnt200;1178;2,458;0,351;1178;
ВОРОНЕЖ500;gdcpnt500;0;0;0;0;
ГРОЗНЫЙ500;gdcpnt500;0;0;0;0;
МОСКВА500;gdcpnt500;0;0;0;0;
ПЕТРОЗАВОДСК500;gdcpnt500;30;3,167;0,452;30;
РОСТОВ-ДОН500;gdcpnt500;0;0;0;0;
САЛЕХАРД500;gdcpnt500;38;2,763;0,395;38;
СУРГУТ500;gdcpnt500;39;2,923;0,418;39;
УСТЮГ500;gdcpnt500;0;0;0;0;
УФА500;gdcpnt500;1;7;1;1;
ВОРОНЕЖ200;gndpnt200;3;3,333;0,833;3;
ВОРОНЕЖ500;gndpnt500;0;0;0;0;
ВОРОНЕЖ1000;gndpnt1000;0;0;0;0;
ВОРОНЕЖ500;gphpnt500;2;3;1;2;
ГРОЗНЫЙ500;gphpnt500;0;0;0;0;
МОСКВА500;gphpnt500;2;3;1;2;
ПЕТРОЗАВОДСК500;gphpnt500;5;2,8;0,933;5;
РОСТОВ-ДОН500;gphpnt500;0;0;0;0;
САЛЕХАРД500;gphpnt500;1;3;1;1;
СУРГУТ500;gphpnt500;0;0;0;0;
УСТЮГ500;gphpnt500;2;3;1;2;
УФА500;gphpnt500;1;3;1;1;
ВОРОНЕЖ200;hdcpnt200;86;3,547;0,296;86;
ВОРОНЕЖ500;hdcpnt500;12;4,083;0,34;12;
ВОРОНЕЖ1000;hdcpnt1000;4;5,75;0,479;4;
ВОРОНЕЖ200;hddpnt200;0;0;0;0;
ВОРОНЕЖ500;hddpnt500;0;0;0;0;
ВОРОНЕЖ1000;hddpnt1000;0;0;0;0;
ВОРОНЕЖ200;hdrpnt200;74;2,108;0,264;74;
ВОРОНЕЖ500;hdrpnt500;0;0;0;0;
ВОРОНЕЖ1000;hdrpnt1000;0;0;0;0;
ВОРОНЕЖ200;hdtpnt200;88;2,511;0,148;88;
ВОРОНЕЖ500;hdtpnt500;29;3,379;0,211;29;
ВОРОНЕЖ1000;hdtpnt1000;16;2,875;0,18;16;
РОСТОВ-ДОН200;piippnt200;7;2,857;0,408;7;
ВОРОНЕЖ200;pippnt2000;1;7;1;1;
ГРОЗНЫЙ200;pippnt200;5;3,2;0,457;5;
МОСКВА200;pippnt200;4;3,25;0,464;4;
ПЕТРОЗАВОДСК200;pippnt200;0;0;0;0;
САЛЕХАРД200;pippnt200;0;0;0;0;
СУРГУТ200;pippnt200;38;2,184;0,312;38;
УСТЮГ200;pippnt200;0;0;0;0;
УФА200;pippnt200;2;5,5;0,786;2;
ВОРОНЕЖ500;pippnt500;0;0;0;0;
ГРОЗНЫЙ500;pippnt500;1;7;1;1;
МОСКВА500;pippnt500;0;0;0;0;
ПЕТРОЗАВОДСК500;pippnt500;0;0;0;0;
РОСТОВ-ДОН500;pippnt500;0;0;0;0;
САЛЕХАРД500;pippnt500;0;0;0;0;
СУРГУТ500;pippnt500;18;2,444;0,349;18;
УСТЮГ500;pippnt500;0;0;0;0;
УФА500;pippnt500;0;0;0;0;
ВОРОНЕЖ1000;pippnt1000;0;0;0;0;
ГРОЗНЫЙ1000;pippnt1000;0;0;0;0;
МОСКВА1000;pippnt1000;0;0;0;0;
ПЕТРОЗАВОДСК1000;pippnt1000;0;0;0;0;
РОСТОВ-ДОН1000;pippnt1000;0;0;0;0;
САЛЕХАРД1000;pippnt1000;0;0;0;0;
СУРГУТ1000;pippnt1000;7;2,857;0,408;7;
УСТЮГ1000;pippnt1000;0;0;0;0;
УФА1000;pippnt1000;0;0;0;0;
ВОРОНЕЖ200;poppnt200;52;2,635;0,293;52;
ГРОЗНЫЙ200;poppnt200;184;2,19;0,243;184;
МОСКВА200;poppnt200;20;3,3;0,367;20;
ПЕТРОЗАВОДСК200;poppnt200;177;2,35;0,261;177;
РОСТОВ-ДОН200;poppnt200;14;3,071;0,341;14;
САЛЕХАРД200;poppnt200;79;2,203;0,245;79;
СУРГУТ200;poppnt200;29;2,483;0,276;29;
УСТЮГ200;poppnt200;28;3,286;0,365;28;
УФА200;poppnt200;14;3,571;0,397;14;
