region;Name;PointsNumber;TotalArea;TotalPerimetr;AveArea;AvePerimetr;BendNumber;AveAngle;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;
ЯРОСЛАВЛЬ;admpol1000;13011;113055689452;12271117;1431084677;155331;6216;51;3486;2809;626;2872;1404856;
ЯРОСЛАВЛЬ;BLKPOL1000YO;734;377627046;538934;7262059;10364;322;56;2610;1760;562;1888;718016;
ЯРОСЛАВЛЬ;crdpol1000;74;62048893912;1413520;31024446956;706760;3;65;407972;195656;102553;201907;20679456348;
ЯРОСЛАВЛЬ;csrpol1000;74;290745384;86073;290745384;86073;40;55;3630;2802;815;2863;2565411;
ЯРОСЛАВЛЬ;gndpol1000;3379;2394762975;3228874;8145452;10983;1142;49;3939;2362;772;2718;1589478;
ЯРОСЛАВЛЬ;hdcpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;hdrpol1000;3959;5862022873;1789500;25158896;7680;1149;32;2856;2089;495;2233;1074683;
ЯРОСЛАВЛЬ;poppol1000;1897;1454771926;1542066;13724263;14548;983;61;2507;1676;568;1798;716826;
ЯРОСЛАВЛЬ;rlfpol1000;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;
ЯРОСЛАВЛЬ;SubjectRF1000;2614;96551202742;3481974;13793028963;497425;1141;51;5185;4359;875;4406;12484411;
ПЕТРОЗАВОДСК;admpol1000;7305;175981972287;8983448;8799098614;449172;3212;42;5729;4920;770;5025;4502783;
ПЕТРОЗАВОДСК;blkpol1000;363;91193553;242487;2533154;6736;145;52;2500;1677;452;1845;551453;
ПЕТРОЗАВОДСК;crdpol1000;5;89056744387;1252104;89056744387;1252104;1;91;845145;406957;231719;420941;89056744386;
ПЕТРОЗАВОДСК;csrpol1000;139;626952824;153231;313476412;76615;52;25;5383;4466;886;4573;3310731;
ПЕТРОЗАВОДСК;gndpol1000;28751;12098771229;17251392;7381801;10526;10246;33;2909;2164;415;2345;788502;
ПЕТРОЗАВОДСК;hdcpol1000;18;7150086;11680;7150086;11680;9;28;2895;2462;183;2571;769163;
ПЕТРОЗАВОДСК;hdrpol1000;53207;291634129050;43041188;119034338;17568;16528;69;4650;3750;470;3960;2887984;
ПЕТРОЗАВОДСК;poppol1000;824;257818701;507659;3222734;6346;327;57;2224;1408;452;1560;494954;
