Region;Name;PointsNumber;BendNumber;AveAngle;TotalArea;Length;AverageLength;AverageBaseLineLength;AverageHeight;AverageWidth;AverageArea;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ500;admlin500.shp;1640;638;23;870885433;957326;3443;2944;522;2981;1380167;7;3.143;0.786;7;
ВОРОНЕЖ500;comlin500.shp;98;51;12;527227196;291135;17347;17075;911;17075;10759739;10;3.900;0.487;10;
ВОРОНЕЖ500;crdlin500.shp;480;195;23;142500958;184130;2873;2573;322;2594;738347;6;4.333;0.394;6;
ВОРОНЕЖ500;forlin500.shp;322;144;8;97383925;532999;7475;7392;165;7392;681006;65;3.031;0.606;65;
ВОРОНЕЖ500;gphlin500.shp;477;135;8;65534443854;1153942;76919;69655;9958;69906;485440325;14;3.286;0.821;14;
ВОРОНЕЖ500;hdclin500.shp;29;7;93;3295429;31080;3351;1882;594;2475;470776;10;4.400;0.338;10;
ВОРОНЕЖ500;hddlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;hdrlin500clip.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;hdtlin500.shp;238;37;13;11452193;69394;1855;1582;196;1625;369426;86;3.209;0.214;86;
ВОРОНЕЖ500;hrdlin500.shp;23074;8703;17;5330636211;8107037;2544;2345;302;2349;616330;1006;3.095;0.344;1006;
ВОРОНЕЖ500;piplin500.shp;863;411;17;3469709877;1240027;12277;11828;963;11834;8567185;32;3.469;0.289;32;
ВОРОНЕЖ500;rdclin500.shp;56;16;14;2980883;18294;2247;2125;167;2137;186305;9;5.000;0.385;9;
ВОРОНЕЖ500;rdslin500.shp;30284;11560;12;19397379650;16027750;4378;4203;353;4205;1687903;3166;3.012;0.251;3166;
ВОРОНЕЖ500;rdslin500clip.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ВОРОНЕЖ500;rlhlin500.shp;95123;29141;27;14657089600;31769181;2133;1624;391;1697;506447;490;3.018;0.503;490;
ВОРОНЕЖ500;rrslin500.shp;2284;858;9;19788234661;1666046;16774;15770;1597;15772;23117097;59;3.153;0.450;59;
ВОРОНЕЖ500;veglin500.shp;436;131;25;79320519;433399;3600;3338;349;3357;610158;130;3.046;0.338;130;
ГРОЗНЫЙ500;admlin500.shp;1239;519;35;1732695099;1329966;5389;4629;759;4704;3371002;10;3.200;0.800;10;
ГРОЗНЫЙ500;comlin500.shp;702;338;21;4192986756;1867702;13779;13152;1225;13168;12783496;61;3.164;0.395;61;
ГРОЗНЫЙ500;crdlin500.shp;8;0;0;0;450911;NaN;NaN;NaN;NaN;NaN;4;4.500;0.750;4;
ГРОЗНЫЙ500;csrlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ500;forlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ГРОЗНЫЙ500;gphlin500.shp;44;12;9;729322400;112462;21941;16380;3516;17711;60776867;2;3.500;0.875;2;
ГРОЗНЫЙ500;piplin500.shp;823;353;13;7043609309;1943206;19073;18463;1372;18469;20416259;64;3.344;0.279;64;
ГРОЗНЫЙ500;rdclin500.shp;218;76;12;107751830;135476;5415;5050;516;5055;1496553;12;4.667;0.359;12;
ГРОЗНЫЙ500;rdslin500.shp;18415;6808;15;12821971014;12527820;5058;4817;432;4822;1895059;1990;3.028;0.252;1990;
ГРОЗНЫЙ500;rlflin500.shp;351;147;13;34118186;128305;2093;2011;161;2017;232097;41;3.220;0.460;41;
ГРОЗНЫЙ500;rrslin500.shp;728;350;6;12346899540;721051;23386;22610;1628;22616;35377936;23;3.304;0.472;23;
МОСКВА500;admlin500.shp;3782;1634;32;1368045481;2022162;2651;2226;435;2259;843431;21;3.048;0.762;21;
МОСКВА500;comlin500.shp;243;129;8;1888997264;435452;18712;18441;993;18447;14873994;8;4.125;0.516;8;
МОСКВА500;crdlin500.shp;8;0;0;0;541746;NaN;NaN;NaN;NaN;NaN;4;4.500;0.750;4;
МОСКВА500;csrlin500.shp;50;24;42;12139360;32264;2509;2218;358;2222;505807;1;11.000;1.000;1;
МОСКВА500;forlin500.shp;1528;605;11;392541869;2079157;5547;5359;234;5371;771202;379;3.005;0.601;379;
МОСКВА500;gphlin500.shp;938;250;9;76074578947;2184706;54818;46807;8180;47224;304298316;25;3.160;0.790;25;
МОСКВА500;piplin500.shp;1834;984;19;3906895052;2495117;7918;7593;685;7595;4103881;52;3.269;0.272;52;
МОСКВА500;rdclin500.shp;91;45;5;14742480;58327;4924;4905;125;4905;359573;12;4.583;0.353;12;
МОСКВА500;rdslin500.shp;49052;19145;13;22369981582;23427255;3641;3496;299;3497;1184913;5969;3.014;0.251;5969;
МОСКВА500;rlflin500.shp;382;123;16;39989556;126733;2137;1945;257;1955;330492;26;3.192;0.456;26;
МОСКВА500;rrslin500.shp;7500;3521;9;26209492408;4469151;10954;10556;788;10557;7514189;218;3.046;0.435;218;
ПЕТРОЗАВОДСК500;admlin500.shp;325;165;33;601836767;538133;5989;5277;836;5313;3647496;3;3.333;0.833;3;
ПЕТРОЗАВОДСК500;comlin500.shp;237;128;13;1512803145;468232;15037;14694;1030;14699;11911836;10;3.500;0.438;10;
ПЕТРОЗАВОДСК500;crdlin500.shp;2;0;0;0;219730;NaN;NaN;NaN;NaN;NaN;1;6.000;1.000;1;
ПЕТРОЗАВОДСК500;csrlin500.shp;227;89;24;210390774;160977;4484;4049;573;4071;2363941;2;7.000;0.636;2;
ПЕТРОЗАВОДСК500;forlin500.shp;4020;1508;8;1105127258;6330496;7410;7286;188;7289;756936;993;3.002;0.600;993;
ПЕТРОЗАВОДСК500;gphlin500.shp;1045;334;13;234177526194;1734898;74360;63531;10589;63730;701130318;14;3.286;0.821;14;
ПЕТРОЗАВОДСК500;piplin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
ПЕТРОЗАВОДСК500;rdclin500.shp;112;38;6;16957250;54208;3406;3343;184;3343;446243;17;3.765;0.290;17;
ПЕТРОЗАВОДСК500;rdslin500.shp;36973;15337;12;29124972779;12443880;4278;4039;418;4040;1910586;1006;3.043;0.254;1006;
ПЕТРОЗАВОДСК500;rlflin500.shp;51;19;11;5225746;20299;2298;2225;150;2226;275039;5;3.800;0.543;5;
ПЕТРОЗАВОДСК500;rrslin500.shp;2821;1224;8;12044834579;1297785;11182;10590;1028;10591;9889027;27;3.222;0.460;27;
РОСТОВ-ДОН500;admlin500.shp;2239;901;38;2435852061;1471015;3986;3463;566;3501;2727718;24;3.083;0.771;24;
РОСТОВ-ДОН500;comlin500.shp;361;200;13;3106606432;1009906;20164;19789;1097;19789;15769576;15;3.467;0.433;15;
РОСТОВ-ДОН500;crdlin500.shp;8;0;0;0;5;NaN;NaN;NaN;NaN;NaN;4;4.500;0.750;4;
РОСТОВ-ДОН500;csrlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН500;forlin500.shp;0;0;0;0;0;NaN;NaN;NaN;NaN;NaN;0;0;0;0;
РОСТОВ-ДОН500;gphlin500.shp;378;73;9;20607802813;1276708;57198;47325;7349;48937;282298669;13;3.077;0.769;13;
РОСТОВ-ДОН500;piplin500.shp;1322;682;14;5594368998;2497436;15849;15495;789;15501;8251282;55;3.418;0.285;55;
РОСТОВ-ДОН500;rdclin500.shp;106;10;5;3898117;32277;4333;4303;133;4303;433124;44;3.568;0.274;44;
РОСТОВ-ДОН500;rdslin500.shp;22061;8625;20;11989312782;16979100;4318;4116;342;4119;1408188;3648;3.013;0.251;3648;
РОСТОВ-ДОН500;rlflin500.shp;594;218;20;76422939;222942;2041;1847;249;1857;350564;46;3.174;0.453;46;
РОСТОВ-ДОН500;rrslin500.shp;2194;1072;7;24623875015;1808053;20034;19323;1310;19324;23012967;71;3.099;0.443;71;
САЛЕХАРД500;admlin500.shp;417;157;21;976239057;435945;6923;6219;931;6245;6218083;3;3.667;0.917;3;
САЛЕХАРД500;comlin500.shp;43;23;9;56137020;98158;13647;13511;437;13511;2440740;3;5.333;0.667;3;
САЛЕХАРД500;crdlin500.shp;124;75;1;6471006483;890376;110462;110430;816;110430;86280086;4;4.250;0.708;4;
