Region;Name;AtrbCount;UniqueValues;AveUniqueValues;NumberOfObj;
ВОРОНЕЖ500;bldpnt500;406;2.017;0.224;406;
ВОРОНЕЖ500;compnt500;0;0;0;0;
ВОРОНЕЖ500;csrpnt500;247;2.101;0.191;247;
ВОРОНЕЖ500;gdcpnt500;0;0;0;0;
ВОРОНЕЖ500;gndpnt500;0;0;0;0;
ВОРОНЕЖ500;gphpnt500;2;3.000;1.000;2;
ВОРОНЕЖ500;hdcpnt500;12;4.083;0.340;12;
ВОРОНЕЖ500;hddpnt500;0;0;0;0;
ВОРОНЕЖ500;hdrpnt500;0;0;0;0;
ВОРОНЕЖ500;hdtpnt500;29;3.379;0.211;29;
ВОРОНЕЖ500;pippnt500;0;0;0;0;
ВОРОНЕЖ500;poppnt500;2;6.000;0.667;2;
ВОРОНЕЖ500;rdcpnt500;93;2.817;0.217;93;
ВОРОНЕЖ500;rdspnt500;1;11.000;1.000;1;
ВОРОНЕЖ500;rlfpnt500;0;0;0;0;
ВОРОНЕЖ500;rlhpnt500;311;2.412;0.301;311;
ВОРОНЕЖ500;rrspnt500;160;3.644;0.455;160;
ВОРОНЕЖ500;vegpnt500;238;2.029;0.254;238;
ГРОЗНЫЙ500;bldpnt500;2219;2.005;0.223;2219;
ГРОЗНЫЙ500;compnt500;1;7.000;1.000;1;
ГРОЗНЫЙ500;csrpnt500;538;2.097;0.191;538;
ГРОЗНЫЙ500;gdcpnt500;0;0;0;0;
ГРОЗНЫЙ500;gphpnt500;0;0;0;0;
ГРОЗНЫЙ500;pippnt500;1;7.000;1.000;1;
ГРОЗНЫЙ500;poppnt500;13;3.462;0.385;13;
ГРОЗНЫЙ500;rdcpnt500;57;3.158;0.243;57;
ГРОЗНЫЙ500;rdspnt500;13;4.308;0.392;13;
ГРОЗНЫЙ500;rlfpnt500;74;2.257;0.282;74;
ГРОЗНЫЙ500;rrspnt500;65;3.769;0.471;65;
МОСКВА500;bldpnt500;1141;2.006;0.223;1141;
МОСКВА500;compnt500;5;3.600;0.514;5;
МОСКВА500;csrpnt500;328;2.070;0.188;328;
МОСКВА500;gdcpnt500;0;0;0;0;
МОСКВА500;gphpnt500;2;3.000;1.000;2;
МОСКВА500;pippnt500;0;0;0;0;
МОСКВА500;poppnt500;4;4.750;0.528;4;
МОСКВА500;rdcpnt500;123;2.789;0.215;123;
МОСКВА500;rdspnt500;1;11.000;1.000;1;
МОСКВА500;rlfpnt500;0;0;0;0;
МОСКВА500;rrspnt500;451;3.310;0.414;451;
ПЕТРОЗАВОДСК500;bldpnt500;1330;2.013;0.224;1330;
ПЕТРОЗАВОДСК500;compnt500;1;7.000;1.000;1;
ПЕТРОЗАВОДСК500;csrpnt500;40;2.500;0.227;40;
ПЕТРОЗАВОДСК500;gdcpnt500;30;3.167;0.452;30;
ПЕТРОЗАВОДСК500;gphpnt500;5;2.800;0.933;5;
ПЕТРОЗАВОДСК500;pippnt500;0;0;0;0;
